"dbms","table_catelog","table_schema","table_name","column_name","ordinal_position","data_type","character_maximum_length","constraint_type","table_schema","table_name","column_name"
postgresql,Production.backoffice,backoffice,public.Bank,ManualEFTSupport,16,boolean,,,,,
postgresql,Production.backoffice,backoffice,public.Bank,Brnum_Show,11,character,50,,,,
postgresql,Production.backoffice,backoffice,public.Bank,IsAEDOEnable,12,boolean,,,,,
postgresql,Production.backoffice,backoffice,public.Bank,WaitTime,10,character,1,,,,
postgresql,Production.backoffice,backoffice,public.Bank,BankId,1,integer,,,,,
postgresql,Production.backoffice,backoffice,public.Bank,AVSCheck,9,character,1,,,,
postgresql,Production.backoffice,backoffice,public.Bank,IsAVSByPass,20,boolean,,,,,
postgresql,Production.backoffice,backoffice,public.Bank,CDVCheck,8,character,1,,,,
postgresql,Production.backoffice,backoffice,public.Bank,FinancialInstitutionId,13,character varying,5,,,,
postgresql,Production.backoffice,backoffice,public.Bank,IsCDVByPass,19,boolean,,,,,
postgresql,Production.backoffice,backoffice,public.Bank,IsRealPayTT1Enable,23,boolean,,,,,
postgresql,Production.backoffice,backoffice,public.Country,CountryId,1,integer,,,,,
postgresql,Production.backoffice,backoffice,public.Country,Description,3,character varying,50,,,,
postgresql,Production.backoffice,backoffice,public.Country,Code,2,character varying,3,,,,
postgresql,Production.backoffice,backoffice,public.Languages,LanguageCode,2,character varying,5,,,,
postgresql,Production.backoffice,backoffice,public.Languages,IsDefault,4,boolean,,,,,
postgresql,Production.backoffice,backoffice,public.Languages,LanguageId,1,integer,,,,,
postgresql,Production.backoffice,backoffice,public.Languages,LanguageName,3,character varying,200,,,,
postgresql,Production.backoffice,backoffice,public.MaritalStatus,MaritalStatusId,1,integer,,,,,
postgresql,Production.backoffice,backoffice,public.MaritalStatus,Description,2,character varying,100,,,,
postgresql,Production.backoffice,backoffice,public.PER_Person,LastEditedDT,22,timestamp without time zone,,,,,
postgresql,Production.backoffice,backoffice,public.PER_Person,GCRecord,24,integer,,,,,
postgresql,Production.backoffice,backoffice,public.PER_Person,LegacyClientCode,6,character varying,20,,,,
postgresql,Production.backoffice,backoffice,public.PER_Person,EmployerId,5,bigint,,,,,
postgresql,Production.backoffice,backoffice,public.PER_Person,TypeId,3,bigint,,,,,
postgresql,Production.backoffice,backoffice,public.PER_Person,Email,13,character varying,60,,,,
postgresql,Production.backoffice,backoffice,public.PER_Person,EthnicGroup,25,integer,,,,,
postgresql,Production.backoffice,backoffice,public.PER_Person,PropertyOwnershipId,32,integer,,,,,
postgresql,Production.backoffice,backoffice,public.PER_Person,Firstname,9,character varying,50,,,,
postgresql,Production.backoffice,backoffice,public.PER_Person,Othername,12,character varying,50,,,,
postgresql,Production.backoffice,backoffice,public.PER_Person,Lastname,11,character varying,50,,,,
postgresql,Production.backoffice,backoffice,public.PER_Person,DateOfBirth,19,timestamp without time zone,,,,,
postgresql,Production.backoffice,backoffice,public.PER_Person,Host,18,integer,,,,,
postgresql,Production.backoffice,backoffice,public.PER_Person,ClientCode,7,character varying,15,,,,
postgresql,Production.backoffice,backoffice,public.PER_Person,LanguageId,31,integer,,,,,
postgresql,Production.backoffice,backoffice,public.PER_Person,ASSPersonId,27,bigint,,,,,
postgresql,Production.backoffice,backoffice,public.PER_Person,CreatedDT,21,timestamp without time zone,,,,,
postgresql,Production.backoffice,backoffice,public.PER_Person,MaritalAgreement,29,integer,,,,,
postgresql,Production.backoffice,backoffice,public.PER_Person,Gender,16,character varying,6,,,,
postgresql,Production.backoffice,backoffice,public.PER_Person,Middlename,10,character varying,50,,,,
postgresql,Production.backoffice,backoffice,public.PER_Person,CreatedBy,20,bigint,,,,,
postgresql,Production.backoffice,backoffice,public.PER_Person,MaritalStatusId,28,integer,,,,,
postgresql,Production.backoffice,backoffice,public.PER_Person,PersonId,1,bigint,,,,,
postgresql,Production.backoffice,backoffice,public.PER_Person,OptimisticLockField,23,integer,,,,,
postgresql,Production.backoffice,backoffice,public.PER_Person,SalaryFrequency,15,character varying,10,,,,
postgresql,Production.backoffice,backoffice,public.PER_Person,WebReference,26,character varying,40,,,,
postgresql,Production.backoffice,backoffice,public.PER_Person,BranchId,4,bigint,,,,,
postgresql,Production.backoffice,backoffice,public.PER_Person,IdNum,14,character varying,30,,,,
postgresql,Production.backoffice,backoffice,public.PER_Person,Race,17,character varying,1,,,,
postgresql,Production.backoffice,backoffice,public.PER_Person,Designation,8,character varying,5,,,,
postgresql,Production.backoffice,backoffice,public.PER_Person,CountryOfBirthId,30,integer,,,,,
postgresql,Production.backoffice,backoffice,public.PER_Person,SecurityId,2,bigint,,,,,
postgresql,Production.backoffice,backoffice,public.PRD_Products,ValidTo,7,timestamp without time zone,,,,,
postgresql,Production.backoffice,backoffice,public.PRD_Products,IsSFXProduct,15,boolean,,,,,
postgresql,Production.backoffice,backoffice,public.PRD_Products,CreatedBy,11,bigint,,,,,
postgresql,Production.backoffice,backoffice,public.PRD_Products,IsExpressLoan,18,boolean,,,,,
postgresql,Production.backoffice,backoffice,public.PRD_Products,IsDefaultMappingWithBranch,16,boolean,,,,,
postgresql,Production.backoffice,backoffice,public.PRD_Products,CreatedDate,9,timestamp without time zone,,,,,
postgresql,Production.backoffice,backoffice,public.PRD_Products,IsActive,8,boolean,,,,,
postgresql,Production.backoffice,backoffice,public.PRD_Products,ValidFrom,6,timestamp without time zone,,,,,
postgresql,Production.backoffice,backoffice,public.PRD_Products,IsUnSecuredLoan,19,boolean,,,,,
